Nodes,Groups,Reduction
66,15,3.42
66,18,15.27
66,16,11.37
66,19,13.63
66,16,24.26
66,13,21.75
66,14,14.51
66,17,13.89
66,13,9.00
66,16,23.74
66,17,7.84
66,16,17.75
66,7,12.95
4,2,0
66,7,19.65
66,16,16.43
66,8,15.00
66,5,-19.77
4,2,0
66,17,12.04
66,16,18.27
66,14,21.21
66,13,21.75
4,2,0
66,13,5.73
66,16,9.12
66,19,20.62
66,13,23.62
66,7,25.23
66,16,21.64
66,8,20.26
66,14,7.29
66,11,15.67
4,2,0
66,5,-16.16
66,16,17.00
66,14,20.51
66,14,17.56
4,3,0
66,15,9.37
66,13,14.64
16,7,10.71
4,3,0
64,15,11.53
16,6,19.51
4,2,0
24,2,-5.55
8,2,0
16,2,0
60,4,18.05
24,2,41.02
64,3,12.61
512,7,17.43
4,2,0
205,6,20.06
10,5,-13.15
8,2,0
12,3,-11.53
12,2,22.22
12,3,35.71
12,3,-11.53
24,2,21.42
32,2,-8.16
12,2,4.16
12,2,12.50
12,5,48.57
12,3,27.77
24,2,5.17
16,2,0
4,2,0
4,2,0
32,3,4.87
20,2,4.16
8,2,0
24,2,5.17
32,2,-8.16
12,2,25.00
4,2,0
64,3,-22.07
20,2,-47.22
36,2,9.42
4,2,0
12,2,53.33
100,7,22.70
32,3,4.87
16,2,-33.33
8,4,18.18
64,6,22.62
12,5,16.66
12,2,22.22
12,2,12.50
12,2,42.85
12,2,-16.66
32,6,20.51
55,7,9.28
36,5,14.84
36,6,17.20
36,2,-8.33
24,2,16.66
4,3,0
128,8,18.38
24,2,-12.50
4,3,0
100,13,-.13
12,2,42.85
12,4,39.28
256,7,19.11
8,3,14.28
24,3,43.75
12,2,25.00
12,2,25.00
12,2,-16.66
12,2,4.16
32,3,4.34
64,8,11.71
4,3,16.66
100,11,26.67
16,4,19.23
4,2,0
4,2,0
12,2,25.00
12,2,-64.28
12,2,47.05
12,2,47.05
12,2,42.85
12,2,25.00
64,6,18.86
55,3,-20.27
8,2,0
4,2,0
16,2,0
300,20,32.27
16,5,8.00
20,2,43.24
24,6,54.09
128,7,6.29
16,3,7.69
8,2,0
4,4,0
32,2,-187.50
64,5,6.00
16,2,0
8,2,0
4,2,0
24,2,21.42
64,7,15.12
300,21,22.31
4,2,0
4,4,0
4,4,0
16,4,18.36
4,2,0
512,22,22.64
16,2,-33.33
4,2,0
8,2,0
16,3,7.14
32,3,-60.00
64,15,15.64
128,19,19.77
1024,21,18.90
4,2,0
8,3,14.28
16,4,14.58
32,7,-8.33
64,8,22.53
24,8,46.72
128,12,24.60
4,2,0
