Nodes,Groups,Reduction
4,4,0
4,1,0
64,15,15.29
16,5,-6.52
16,5,11.42
16,1,0
16,1,0
16,1,0
16,1,0
16,2,5.71
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,2,13.33
16,2,10.81
16,2,12.50
16,3,15.38
16,1,0
4,1,0
16,1,0
16,1,0
16,1,0
8,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,2,0
16,2,0
16,2,-27.27
16,2,-27.27
16,2,12.50
16,2,0
16,2,0
64,18,16.40
64,15,18.53
64,19,19.03
4,1,0
4,3,16.66
4,3,16.66
64,6,12.74
64,20,7.56
4,3,0
4,1,0
64,15,22.83
4,4,0
64,8,23.63
64,10,18.97
64,15,15.75
64,18,16.39
64,15,18.85
4,1,0
64,18,13.28
4,1,0
64,15,17.29
8,1,0
4,1,0
64,19,9.09
64,16,22.17
64,13,22.13
64,14,11.82
64,17,8.25
64,13,19.41
64,16,15.74
4,1,0
64,17,11.71
64,16,16.88
64,7,1.87
4,2,0
64,5,8.00
64,15,22.59
4,1,0
64,7,6.04
64,5,22.91
4,2,0
64,17,12.21
64,16,20.86
64,14,17.52
64,13,22.13
4,2,0
64,13,23.56
64,16,14.00
64,18,15.25
4,1,0
64,13,6.21
64,7,15.61
64,16,15.56
4,1,0
64,7,18.38
64,14,14.95
64,10,12.50
4,2,16.66
64,5,18.64
4,1,0
16,1,0
4,1,0
64,16,16.62
64,14,15.87
4,1,0
64,14,14.84
4,3,16.66
64,15,18.22
64,13,16.88
4,1,0
4,1,0
16,7,22.22
4,3,0
4,1,0
64,15,12.09
16,6,-3.84
4,2,16.66
16,2,13.79
8,1,0
4,1,0
8,2,0
4,1,0
16,2,13.79
4,1,0
32,3,-7.95
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
16,2,13.15
4,1,0
8,1,0
8,1,0
4,1,0
4,1,0
4,1,0
64,3,18.21
4,1,0
4,1,0
512,7,4.76
4,2,0
128,5,24.60
4,1,0
4,1,0
4,1,0
8,4,0
8,1,0
4,1,0
4,1,0
8,1,0
4,1,0
4,1,0
8,1,0
4,1,0
4,1,0
8,2,-10.00
4,1,0
8,3,-8.33
4,1,0
4,1,0
8,1,0
8,1,0
8,2,12.50
8,3,-8.33
4,1,0
8,1,0
16,2,8.33
4,1,0
4,1,0
16,1,0
32,2,-23.07
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
8,2,15.38
8,1,0
8,3,18.18
8,3,11.11
4,1,0
16,2,15.15
16,2,12.12
4,2,0
4,2,0
4,1,0
4,1,0
4,1,0
8,1,0
32,3,18.33
16,2,13.15
4,1,0
4,1,0
8,1,0
8,2,-10.00
16,2,15.15
4,1,0
16,1,0
32,2,-23.07
8,1,0
8,1,0
8,1,0
4,2,16.66
64,3,3.75
8,1,0
16,2,-27.27
32,2,13.69
4,1,0
4,2,16.66
16,1,0
16,1,0
8,1,0
4,1,0
4,1,0
4,1,0
8,1,0
4,1,0
8,2,13.33
64,5,9.11
8,1,0
4,1,0
32,3,11.60
16,2,10.81
8,4,0
4,1,0
64,6,17.28
8,3,11.76
8,1,0
8,1,0
8,2,12.50
8,2,-10.00
4,1,0
32,6,19.44
32,4,10.56
32,5,15.78
32,6,20.23
32,2,7.50
16,1,0
4,1,0
8,1,0
16,1,0
4,1,0
8,1,0
8,1,0
16,1,0
8,1,0
4,1,0
4,3,0
8,1,0
128,8,20.05
16,2,-8.33
4,3,16.66
8,1,0
8,1,0
4,1,0
4,1,0
64,10,14.58
8,1,0
8,2,12.50
8,3,11.76
256,7,21.06
8,1,0
16,1,0
8,3,0
16,3,20.68
4,1,0
8,1,0
8,1,0
8,1,0
8,2,-10.00
8,1,0
8,2,15.38
32,3,10.20
64,8,13.60
8,1,0
4,3,0
16,1,0
64,8,12.68
16,4,8.00
4,1,0
4,1,0
4,1,0
8,1,0
4,2,0
4,2,16.66
8,2,0
8,2,0
8,2,14.28
8,2,14.28
8,2,12.50
8,2,0
64,6,21.09
32,3,12.98
8,2,0
4,2,16.66
16,2,13.15
256,19,17.88
4,1,0
16,5,8.33
16,2,5.71
16,6,20.83
128,7,11.82
16,3,17.30
8,2,0
4,4,0
32,2,-2.63
8,1,0
4,1,0
16,1,0
8,1,0
4,1,0
4,1,0
8,1,0
8,1,0
8,1,0
64,5,23.75
4,1,0
4,1,0
16,2,13.15
8,2,0
4,2,0
16,1,0
16,2,8.33
8,1,0
8,1,0
4,1,0
64,7,21.12
4,1,0
8,1,0
256,19,19.61
4,1,0
8,1,0
4,2,0
4,4,0
4,4,0
4,1,0
4,1,0
16,4,20.00
4,1,0
4,1,0
4,2,16.66
512,22,13.27
4,1,0
16,2,11.11
4,1,0
4,1,0
4,2,0
4,1,0
8,2,14.28
16,3,14.81
32,3,10.00
64,15,19.77
128,19,21.89
1024,21,18.09
4,2,0
8,3,20.00
16,4,14.58
32,7,21.32
64,8,22.22
16,5,19.51
128,12,23.36
4,1,0
4,1,0
4,2,16.66
16,5,22.61
4,1,0
4,1,0
8,2,12.50
4,2,16.66
16,2,10.81
16,2,8.33
8,1,0
4,2,16.66
8,3,18.18
4,1,0
16,4,16.66
256,14,22.87
4,1,0
4,1,0
4,1,0
4,1,0
4,2,16.66
8,1,0
4,1,0
4,1,0
4,1,0
4,1,0
8,1,0
16,1,0
16,1,0
4,1,0
4,1,0
4,1,0
16,5,16.21
4,1,0
4,1,0
4,1,0
16,1,0
4,1,0
4,1,0
16,1,0
4,1,0
4,1,0
4,2,16.66
4,1,0
64,6,12.84
16,1,0
4,1,0
4,1,0
4,1,0
4,2,16.66
4,1,0
8,1,0
16,1,0
8,1,0
8,1,0
4,1,0
8,1,0
4,1,0
4,1,0
4,1,0
8,4,-8.33
4,1,0
32,3,-2.40
4,2,0
16,1,0
8,1,0
4,1,0
8,3,20.00
8,3,18.18
4,3,0
8,1,0
16,1,0
4,1,0
4,1,0
8,2,13.33
4,1,0
8,1,0
8,4,16.66
4,1,0
16,4,16.17
